Nome do local,Latitude,Longitude,Altitude,Fuso horário,Responsável
T3 - MAN,-3.21,-60.6,50,America/Manaus,Vinicius
Brasília - BRB,-15.601,-47.713,995,America/Sao_Paulo,Tayná
Petrolina - PTR,-9.069,-40.320,380,America/Recife,Miguel
São Martinho - SMS,-29.443,-53.823,475,America/Sao_Paulo,Guilherme
São Paulo - IAG,-23.560,-46.734,754,America/Sao_Paulo,Davi
Almeria - ESP,37.093,-2.381,500,Europe/Madrid,Eduardo
São Tomé e Príncipe - STP,0.000,6.520,34,Africa/Sao_Tome,Fábio
Alasca - EUA,61.585,-149.779,65,America/Anchorage,João Edreira
Rajastão - IND,27.518,71.928,200,Asia/Kolkata,Pedro
Qinghai - CHI,36.406,94.886,2815,Asia/Shanghai,João Carciofi
EACF - ANT,-62.085,-58.388,5,Antarctica/Palmer,Lucas
Werneuchen - ALE,52.652,13.691,80,Europe/Berlin,Igor
Darlington - AUS,-34.647,146.033,125,Australia/Sydney,Luiza
Toquio - JAP,35.69,139.69,40,Asia/Tokyo,Edson
